Date,Author,Question,Answer,URL
10/5/17,Julieta Jakubowicz,What questions should I ask to see if a story is ready?,What adjustments do we want to make? How will we want to use it?,https://www.agilealliance.org/glossary/definition-of-ready/
10/5/17,Julieta Jakubowicz,What are Personas?,"When the project calls for it - for instance when user experience is a major factor in project outcomes - the team crafts detailed, synthetic biographies of fictitious users of the future product: these are called ""personas"". (In Alan Cooper's concise terms: ""make up pretend users and design for them"".) Personas are concise and visual; a common layout is a single page including a photograph (from stock shots or magazine cutouts), a name and social or professional details: ""Amanda Jones, 34, press officer at a major food retailing organization, etc."" As a software product is generally intended for use by more than one category of person, with potentially different preferences and expectations of the product, the team creates one persona for each category it deems important to serve well. The biographies are displayed in the team room.",https://www.agilealliance.org/glossary/personas/
10/5/17,Julieta Jakubowicz,What are some common pitfalls of Personas?,"Personas should not be confused with other conceptual tools used in defining software requirements or in product marketing: -- they are not ""user roles"" (such as sales person, administrator, etc.) primarily defined in terms of tasks or job descriptions; personas put the emphasis on goals and behaviours -- they are not ""market segments"" (such as ""18-25s who exercise"") primarily defined in term of demographic attributes; personas are users rather than buyers.",https://www.agilealliance.org/glossary/personas/
10/5/17,Julieta Jakubowicz,What are some common pitfalls of Retrospectives?,"Retrospectives should generally be facilitated by someone external to the team rather than one of the members, managers or stakeholders; someone with a vested interest in the project's outcomes would find it difficult to both facilitate discussions impartially and take part in them. The main concerns in a milestone retrospective are different than those of an iteration retrospective, and may have broader impact: they include the long-term or strategic viability of the project, healthy work relationships among team members, or governance concerns, while iteration retrospectives tend to focus on concrete and tactical matters.",https://www.agilealliance.org/glossary/milestone-retrospective/
10/5/17,Julieta Jakubowicz,What are some common pitfalls of Stand-up (Daily Scrum)?,"perhaps the most common mistake is to turn the daily meeting into a ""status report"" with each member reporting progress to the same person (the team's manager, or the appointed Scrum Master) - exchanges in the daily meeting should be on a peer-to-peer basis -- a second common pitfall is a daily meeting which drags on and on; this is easy to address with a modicum of facilitation skills -- a third common issue is a team finding little value in the daily meeting, to the point where people will ""forget"" to have it unless the Scrum Master or project manager takes the initiative; this often reveals a lukewarm commitment to Agile -- one final common symptom: the ""no problem"" meeting, where no team member ever raises obstacles (""impediments"" in Scrum parlance), even though the team is manifestly not delivering peak performance; this is sometimes an indication that the corporate culture makes people uncomfortable with discussing difficulties in a group setting.",https://www.agilealliance.org/glossary/daily-meeting/
10/5/17,Julieta Jakubowicz,What are some common pitfalls of Teams?,"the most elementary error is to equate ""group"" and ""team"", to think that a team results automatically from having people work together -- a team should have at least three people (two is a pair), and will generally not exceed ten or so -- a single person may be a contributor to more than one ""project"" simultaneously, but it is highly unlikely that they will consider themselves as belonging to more than one ""team"" at the same time",https://www.agilealliance.org/glossary/team/
10/5/17,Julieta Jakubowicz,What are some common pitfalls of User Stories?,"A classic mistake consists, in teams where the Agile approach is confined to the development team or adopted after a non-Agile requirements phase, to start from a requirements document in narrative format and derive user stories directly based on its structure: for instance one story for each section of the document. -- As the 3 C's model emphasizes, a user story is not a document; the term encompasses all of the knowledge required to transform a version V of the product into version V' which is more valuable with respect to a particular goal -- The level of detail corresponding to a user story is not constant, it evolves over time as a function of the ""planning horizon""; for instance a user story which is scheduled for the next iteration should be better understood than one which will not be implemented until the next release -- A user story is not a Use Case; although it is often useful to compare and contrast the two notions, they are not equivalent and do not admit a one-to-one mapping -- A user story does not in general correspond to a technical or user interface component: even though it may sometimes be a useful shortcut to talk about e.g. ""the search dialog story"", screens, dialog boxes and buttons are not user stories",https://www.agilealliance.org/glossary/user-stories/
10/5/17,Julieta Jakubowicz,What are some common pitfalls when using the definition of done (DoD) checklist?,"The DoD can pose the following challenges: -- obsessing over the list of criteria can be counter-productive; don't let perfect be the enemy of good. -- Individual features or user stories may have specific Done criteria in addition to the ones that apply to work in general. -- If DoD is merely a shared understanding, rather than spelled out and displayed on a wall, it may lose much of its effectiveness; a good part of its value lies in being an explicit contract known to all members of the team. ",https://www.agilealliance.org/glossary/definition-of-done/
10/5/17,Julieta Jakubowicz,What are the benefits of adopting Personas?,"In a nutshell, personas are an answer to the observation that a designer who tries to please everybody ends up pleasing nobody, because too many compromises kill the product's integrity. Instead, personas provide designers and developers with an anchor for justifying design choices: rather than appeal to vague notions of ""ease of use"", they suggest questions of ""what Amanda would do"" or ""whether Bob will understand"" a given feature, interaction, or visual cue. Because personas are part of the team's shared assumptions, each team member is made aware of the consequences of design choices. Knowing that the product will be used by ""Eileen, 72, retired"", a developer will weigh more accurately the consequences of filling up a modal dialog with 50 tiny dials and settings, which would not necessarily be the case if they thought in terms of ""the user"".",https://www.agilealliance.org/glossary/personas/
10/5/17,Julieta Jakubowicz,What are the benefits of Stand-up (Daily Scrum)?,"the daily meeting prevents a common failure mode of teams, where in the absence of an explicit occasion to share recent information, some critical knowledge may sometimes ""fall through the cracks"" -- regular peer-to-peer sharing of information in a short, focused and energetic meeting also contributes to team cohesion -- stand-up meetings are reliably shorter, more pleasant and more effective than sit-down meetings",https://www.agilealliance.org/glossary/daily-meeting/
10/5/17,Julieta Jakubowicz,What are the benefits of User Stories?,"For most Agile teams user stories are the main vehicle of incremental software delivery, and offer the following benefits: -- mitigating the risks of delayed feedback, all the more so -- if the increments are small -- if the software is released to production frequently -- for the customer or product owner, the option to change their mind on the details or the schedule priority of any user story not yet implemented -- for developers, being given clear and precise acceptance criteria, and ongoing feedback as they complete work -- promoting a clear separation of responsibilities between defining the ""what"" (province of the customer or product owner) and the ""how"" (province of the technical team), leveraging the skills and creativity of each",https://www.agilealliance.org/glossary/user-stories/
10/5/17,Julieta Jakubowicz,What are the potential Costs of User Stories?,"Incremental development in general, and the ""nano-incremental"" strategy embodied in user stories in particular, has significant impacts on projects' testing strategies, and in particular all but mandates significant test automation. This follows from the so-called ""quadratic growth"" problem: after implementation of feature F1 it is normal to test that feature. After implementation of feature F2, the risk of regression dictates re-testing F1 as well as testing F2. A test sequence assuming incremental development therefore goes: F1,F1+F2,F1+F2+F3, etc. - this grows as the square of the number of features, and can therefore quickly become unmanageable as projects grow in size. Test automation (in particular unit and acceptance testing) mitigates this effect, although it does come at a cost.",https://www.agilealliance.org/glossary/user-stories/
10/5/17,Julieta Jakubowicz,What are the twelve Principles of Agile?,"""1. Our highest priority is to satisfy the customer through early and continuous delivery of valuable software. 2. Welcome changing requirements, even late in development. Agile processes harness change for the customer's competitive advantage. 3. Deliver working software frequently, from a couple of weeks to a couple of months, with a preference to the shorter timescale. 4. Business people and developers must work together daily throughout the project. 5. Build projects around motivated individuals. Give them the environment and support they need, and trust them to get the job done. 6. The most efficient and effective method of conveying information to and within a development team is face-to-face conversation. 7. Working software is the primary measure of progress. 8. Agile processes promote sustainable development. The sponsors, developers, and users should be able to maintain a constant pace indefinitely. 9. Continuous attention to technical excellence and good design enhances agility. 10. Simplicity--the art of maximizing the amount of work not done--is essential. 11. The best architectures, requirements, and designs emerge from self-organizing teams. 12. At regular intervals, the team reflects on how to become more effective, then tunes and adjusts its behavior accordingly.""",https://www.agilealliance.org/agile101/12-principles-behind-the-agile-manifesto/
